id,text,aspect_category,aspect_span,opinion_span,stance,evidence_span
52,There's economic damage that comes to the touristy/commercial districts if there's a giant homeless camp set up there.,Employment &Economy,economic ,damage,Hate,There's economic damage that comes to the touristy/commercial districts if there's a giant homeless camp set up there
53,Shelters should offer trauma-informed care to better support people with past abuse experiences.,Empathy & Support,support,offer trauma-informed care,Neutral,Shelters should offer trauma-informed care to better support people with past abuse experiences.
54,I don't understand people who choose it I've been homeless 11 months I'd love to have a home., Shelter & Housing,home,love,Neutral,I'd love to have a home
55,"As someone who has had programs with vacancies and called/met with a list of clients to fill vacancies, it’s often challenging to find someone who is willing to say ‘yes, I’m ready for housing and treatment’.", Shelter & Housing,housing,challenging,Neutral,"it’s often challenging to find someone who is willing to say ‘yes, I’m ready for housing and treatment’."
56,"I’ve helped hundreds of clients get placed in housing and many chose to sleep on the streets, while having a fully furnished, independent living arrangement. Houses won’t fix the situation for most of our chronic homeless population.", Shelter & Housing,housing,won't fix,Neutral, Houses won’t fix the situation for most of our chronic homeless population.
57,"The sad truth is, someone with an addiction to strong drugs  is unlikely to achieve rehabilitation without some sort of forced sobriety.",Addiction & Health,addiction to strong drugs,unlikely,Neutral,someone with an addiction to strong drugs  is unlikely to achieve rehabilitation without some sort of forced sobriety.
58,"This is a controversial comment, but people need to stop having children with addicts and choose more wisely whom they do have children with.",Addiction & Health,addicts,choose wisely,Neutral,people need to stop having children with addicts
59,"The emotions we feel need to be directed towards the systems that create homelessness, not towards individuals.",Policy & Governance,system,emotions,Hopeful,"directed towards the systems that create homelessness, not towards individuals"
60,"We do need to be more proactive in helping them on their feet, getting them housing, rehabilitation and other things, But that’s just putting a patch on the visible thing for now.",Empathy & Support,helping,proactive,Hopeful,"proactive in helping them on their feet, getting them housing, rehabilitation and other things"
61,"Even if we build enough homes today, new people will still become homeless due to economic downturns, medical emergencies, and personal crises.",Employment &Economy,economic downturn, still become  homeless,Neutral,new people will still become homeless due to economic downturns
62,"the funding for homelessness comes from a mix of federal, state, and local sources, but there’s never enough to fully address the problem.",Policy & Governance,funding,never enough,Neutral,"the funding for homelessness comes from a mix of federal, state, and local sources"
63,"Even if cities build housing, they need money to maintain it and provide these wraparound services, which adds to long-term costs.", Shelter & Housing,housing,need,Neutral,cities needs money and services to maintain housing that adds to long term costs
64,"States and cities also allocate funds, often through bonds or dedicated taxes, but their budgets are limited.",Policy & Governance,funds,limited,Neutral,budgets of cities and states are limited to allocate funds
65,Homeless services are often the first to be cut when budgets get tight because taxpayers and politicians prioritize other spending.,Policy & Governance,budget,spending,Neutral,when budget get tight other spending prioitize more than homeless services
66,"Some people argue that investing in housing and services saves money in the long run by reducing emergency room visits, police intervention, and jail costs, but those savings aren’t immediate or easy to reallocate.", Shelter & Housing,housing,investing,Hopeful, investing in housing and services saves money in the long run 
67,"Urban homelessness is often more visible and politically urgent, so cities tend to receive more funding than suburban or rural areas.",Policy & Governance,funding,politically urgent,Hopeful,cities tend to receive more funding than suburban or rural areas.
68,"rural homelessness comes with its own challenges such as fewer shelters, less public transit, and fewer jobs that make it harder to get back on one’s feet.", Shelter & Housing,fewer shelters,challenges,Neutral,"rural homelessness comes with its own challenges such as fewer shelters, less public transit, and fewer jobs that make it harder to get back on one’s feet."
69,The majority of the money never makes it to the ones it's meant to help.,Empathy & Support,help,never make it,Neutral,the money never makes it to the ones it's meant to help.
70,"Most people say that the homeless contribute nothing to society, are bottom feeders, and some people/society's believe it's problem that can be solved.",Community Impact & Social Cohesion,society,contribute nothing to society,Neutral,society's believe it's problem that can be solved.
71,"They were calling for the entire city council to resign, they wanted an investigation into how city funds were being spent, etc. ",Policy & Governance,funds,resign,Neutral,they wanted an investigation into how city funds were being spent
72,"Just moving homeless mental patient to some sort of asylum in the boonies with clean air, nature, and support would be a massive improvement and doubt it would cost more than current ineffectual systems.",Addiction & Health,asylum,massive improvement,Hopeful,"moving homeless mental patient to some sort of asylum in the boonies with clean air, nature, and support would be a massive improvement"
73,Cities already invest an enormous amount of money into combatting homelessness and nothing's getting better because the current strategies aren't viable.,Policy & Governance,invest, nothing's getting better ,Neutral, current strategies aren't viable.
74,Hating homeless people across the board just for BEING homeless is obviously ugly and insane.,Empathy & Support,hating is insane,hating people is insane behaviour,Hopeful,Hating homeless people  just for BEING homeless is obviously ugly and insane.
75,The emergency fund reflects the institution’s commitment to ensuring that financial struggles do not end a student’s academic journey.,Policy & Governance,financial struggles,do not end a student’s academic journey.,Hopeful,The emergency fund reflects the institution’s commitment to ensuring that financial struggles do not end a student’s academic journey.
76,"I really like this shop, but lately the area outside has too many homeless people hanging around, which makes the environment uncomfortable for customers.",Public Space,uncomfortable,hanging around,Hate,"outside shop homeless people hanging around, which makes the environment uncomfortable for customers."
77,"I sympathize with homeless people, but I won’t shop where there’s open drug use.",Addiction & Health,drugs,won't shop,Neutral,people sympathize with homeless people but they shop wher there's open drug use
78,"The city acknowledges the homelessness issue, yet the support programs seem underfunded.",Policy & Governance,underfunded,support programs,Neutral,"The city acknowledges the homelessness issue, yet the support programs seem underfunded."
79,I used to cut through that alley every morning — now tents block it and I have to go a mile out of my way.,Public Space,alley,block,Hate,now tents block it and I have to go a mile out of my way.
80,"By supporting homeless students in crisis, the fund protects their path toward graduation and a stable future.",Policy & Governance,funds,supporting stable future of students,Hopeful,"By supporting homeless students in crisis, the fund protects their path toward graduation and a stable future."
81,"I sympathize with the unhoused, but blocking walkways is making daily life difficult for residents.",Public Space,blocking walkways,difficult,Neutral,blocking walkways is making daily life difficult for residents.
82,Business owners say customers stop coming because the usual pedestrian routes are obstructed.,Public Space,pedestrian routes,obstructed,Hate,customers stop coming because the usual pedestrian routes are obstructed.
83,Financial inclusion and cash transfers help protect vulnerable people from exploitation and risks tied to poverty.,Empathy & Support,help, protect vulnerable people,Hopeful,Financial inclusion and cash transfers help protect vulnerable people from exploitation
84,Policy experts agree we need targeted policies to protect the most vulnerable in a changing economy.,Policy & Governance,policies,protect,Hopeful,targeted policies to protect the  vulnerable in a changing economy.
85,"NGO guidance stresses that poverty drives poor health, education gaps and that helping economically protects the vulnerable",Empathy & Support,guidance,helping economically,Hopeful,helping economically protects the vulnerable
86,Political reporting and public comments argue endemic poverty drives problems like slavery and exploitation; legal and economic protections are needed.,Policy & Governance,legal policies,economic protection,Hopeful, poverty drives problems like slavery and exploitation; legal and economic protections are needed
87,"Honestly, most people I see on the streets didn’t just wake up and choose this. They lost jobs, couldn’t pay rent, and had nowhere to go.", Shelter & Housing,couldn't pay rent,no where to go,Hopeful,"They lost jobs, couldn’t pay rent, and had nowhere to go."
88,One medical emergency or one missed paycheck can destroy someone financially. That’s how homelessness starts.,Addiction & Health,medical emergency,destroy someone financially,Neutral,One medical emergency or one missed paycheck can destroy someone financially
89,Timely assistance through small grants can make the difference between a student giving up and successfully completing their degree.,Policy & Governance,small grants,completing degree,Hopeful,Timely assistance through small grants can help students successfully completing their degree.
90,"We keep blaming addiction, but being broke and desperate is what puts people in survival mode.",Addiction & Health,desperate,survival mode,Neutral,being broke and desperate leads to addiction
91,It’s hard to recover from mental health issues when you’re also worried about eating or sleeping somewhere safe.,Addiction & Health,mental health ,hard to recover,Neutral,It’s hard to recover from mental health issues when you’re also worried about eating or sleeping somewhere safe.
92,"When governments cut benefits, the poorest people pay the price.",Policy & Governance,cuts benefits,poor people pay the price,Hate,"When governments cut benefits, the poorest people pay the price."
93,Supporting homeless people through financial inclusion programs is a practical step toward reducing poverty-related risks.,Empathy & Support,supporting,practical step,Hopeful,financial inclusion programs is a practical step toward reducing poverty-related risks.
94,"If government actually protected low-income families better, we wouldn’t see tents under every bridge.", Shelter & Housing,tents,wouldn't see,Neutral,we wouldn’t see tents under every bridge.
95,You can’t treat homelessness without fixing the root problem i.e people not having enough income to survive.,Employment &Economy,income,not enough,Neutral,You can’t treat homelessness without fixing the root problem i.e people not having enough income to survive.
96,"If rent keeps going up but salaries don’t, what do we expect? People fall through the cracks.",Employment &Economy,salaries,falls,Hate,"If rent keeps going up but salaries don’t,  People fall through the cracks."
97,Some unhoused people view shelters as institutional and prison-like — they avoid them because it feels like losing freedom., Shelter & Housing,shelter,avoid,Hate,people avoid shelter because it feels like losing freedom.
98,"Some unhoused people report theft and assault inside shelters, which destroys trust in those services.", Shelter & Housing,shelter,destroy trust,Hate,"people report theft and assault inside shelters, which destroys trust in those services"
99,"Creating smaller, community-based shelters would make the environment calmer and more manageable.", Shelter & Housing,community-based shelters, calmer and more manageable,Hopeful,"Creating smaller, community-based shelters would make the environment calmer and more manageable."
100,Adding private sleeping pods or partitions would give people dignity and personal space in shelter.,Public Space,private sleeping pods or partitions,personal space,Hopeful,Adding private sleeping pods or partitions would give people dignity and personal space in shelter.
101,"Many cities are quick to clear homeless encampments without providing adequate alternatives, showing a blatant disregard for their dignity. It often feels like a punishment rather than a solution to the housing crisis. The aspect of compassion is sorely lacking in this approach.",Policy & Governance,clear homeless encampments,disregard for dignity,Hate,The lack of adequate alternatives and the punitive nature of clearing encampments shows a blatant disregard for homeless people's dignity.
102,The way some cities prioritize criminalizing homeless individuals over providing necessary services is deeply troubling. Policies that focus on punishment rather than support fail to address the real needs of these vulnerable people. It's hard to believe that society thinks enforcing laws instead of offering help is a solution.,Policy & Governance,criminalizing homeless individuals,deeply troubling,Hate,prioritizing punishment over support fails to address the real needs of vulnerable people
103,Many local governments prioritize sweeping homeless encampments instead of providing adequate shelter. This harsh approach fails to address the underlying causes of homelessness and often leads to further displacement. The aspect of enforcement seems more concerned with aesthetics than human dignity.,Policy & Governance,sweeping homeless encampments,fails to address underlying causes,Hate,This harsh approach prioritizes aesthetics over human dignity and ignores the real issues that lead to homelessness.
104,"Some local governments have taken the drastic measure of enforcing sweeps that displace homeless individuals from public spaces, showing a complete disregard for their basic human rights.",Public Space,enforcing sweeps,complete disregard,Hate,These measures displace homeless individuals without addressing their needs or rights.
105,"Many shelters are overcrowded and lack basic amenities, making it hard for homeless people to find a safe place to stay. This situation only exacerbates their struggles. It's disheartening that the system fails to provide adequate support.",Shelter & Housing,shelters,lack basic amenities,Hate,"Many shelters are overcrowded and lack basic amenities, which makes it hard for homeless people to find a safe place to stay."
106,"Many cities criminalize the presence of homeless individuals in public spaces, treating them as nuisances rather than people in need. This approach only exacerbates their struggles and offers no real solutions. Instead of providing help, it pushes them further into desperation.",Public Safety,criminalize the presence of homeless individuals,exacerbates their struggles,Hate,treating homeless people as nuisances instead of offering help only worsens their situation
107,Many people believe that the presence of homeless individuals in public spaces creates a sense of danger and discomfort for others.,Public Space,public spaces,creates discomfort,Hate,The belief that homeless individuals create danger in public spaces fosters a negative perception of them.
108,"The lack of accessible public spaces forces homeless people into hidden corners and unsafe areas, demonstrating a complete disregard for their dignity.",Public Space,public spaces,forces homeless people into hidden corners and unsafe areas,Hate,the lack of accessible public spaces shows a complete disregard for the dignity of homeless individuals.
109,"Many shelters prioritize rules over compassion, leaving vulnerable individuals feeling punished rather than supported. This approach often drives homeless people away instead of helping them find stability. It’s heartbreaking to see policies that neglect the humanity of those in need.",Shelter & Housing,rules over compassion,neglect the humanity,Hate,"Many shelters prioritize punitive rules, leading to a lack of support for vulnerable individuals."
110,"Many local governments are putting up barriers to keep homeless people out of public spaces, which is both inhumane and counterproductive. Instead of addressing the root causes, they're simply hiding the problem away.",Public Space,public spaces,barriers to keep homeless out,Hate,putting up barriers to keep homeless people out is inhumane and only serves to hide the issue rather than solve it.
111,"Many neighborhoods resist the establishment of shelters, fearing they will attract crime and decrease property values. This opposition is rooted in a misunderstanding of homelessness and a lack of compassion for those in need. The idea that shelters will ruin communities reflects deep-seated prejudice against homeless individuals.",Shelter & Housing,shelters,attract crime,Hate,The fear that shelters will attract crime shows a lack of empathy and reinforces negative stereotypes about homeless people.
112,"The increased presence of homeless people in public spaces is often met with hostility, as many residents feel unsafe and uncomfortable.",Public Space,presence of homeless people,met with hostility,Hate,Residents feel unsafe due to the presence of homeless individuals in their neighborhoods.
113,"The way some communities treat homeless people as nuisances rather than individuals in need is deeply troubling. Instead of providing support, they focus on pushing them out of sight and mind. This approach ignores the real issues at play.",Community Impact & Social Cohesion,homeless people,treat as nuisances,Hate,the treatment of homeless people as nuisances instead of individuals in need is deeply troubling.
114,Many local governments have decided to ignore the needs of homeless people by cutting funding for essential services. This approach only exacerbates their struggles and leads to more suffering in the community. It is time for leaders to realize that neglecting this aspect of society is not a solution.,Policy & Governance,funding for essential services,cutting funding worsens struggles,Hate,Ignoring the needs of homeless people by cutting funding only increases their suffering.
115,"Many shelters impose strict rules that make it difficult for homeless people to feel safe and welcomed. Instead of providing support, these regulations often push individuals away, forcing them to choose between shelter and personal freedom. It's disheartening to see systems in place that prioritize control over compassion.",Shelter & Housing,shelters,impose strict rules,Hate,These strict rules create an environment where homeless people do not feel safe or welcome.
116,"Rather than removing homeless encampments, communities should ask what assistance homeless individuals require to rebuild their lives.",Community Impact & Social Cohesion,community harmony,rebuild life,Hopeful,communities should ask what assistance homeless individuals require to rebuild their lives.
117,"Encampments may look messy, but they’re communities where people protect each other.",Empathy & Support,protect,look messy,Neutral,"Encampments may look messy, but they’re communities where people protect each other."
118,"In the absence of safe housing, homeless people sometimes rely on train stations for shelter.", Shelter & Housing,housing,absence,Neutral,Train stations become shelters when people have nowhere else to go.
119,Stepping around someone on the sidewalk shouldn’t mean stepping over their humanity.,Empathy & Support,humanity,shouldn't mean,Neutral,Stepping around someone on the sidewalk shouldn’t mean stepping over their humanity.
120,"Public places belong to all of us, including those without homes.",Public Space,Public places,belong,Hopeful,"Public places belong to all of us, including those without homes."
121,"Homeless individuals often face unfair stereotypes, even though most are just trying to survive and not commit crimes.",Public Safety,stereotypes, trying to survive ,Hopeful,homeless people are just trying to survive and not commit crimes
122,"Instead of clearing homeless encampments, we should focus on understanding what support and services homeless people truly need", Shelter & Housing,encampments,focus on people needs,Hopeful,we should focus on understanding what support and services homeless people truly need
123,Accessible mental healthcare could prevent many people from ever ending up on the streets in the first place.,Addiction & Health, accessible healthcare,prevent,Hopeful,Accessible mental healthcare could prevent many people from ending up on the streets
124,"It’s easy to judge someone battling addiction, but recovery is a long and painful process that requires support, stability, and patience from the community.",Addiction & Health,addiction,judge,Neutral,"It’s easy to judge someone battling addiction, but recovery is a long and painful process "
125,I believe people struggling with alcoholism deserve structured help and encouragement rather than shame.,Addiction & Health,alcoholism,deserve,Neutral,I believe people struggling with alcoholism deserve structured help and encouragement rather than shame.
126,"Alcohol dependency can become a coping mechanism for unbearable stress and isolation, and without counseling or housing stability, it’s incredibly hard for someone to break that cycle.",Addiction & Health,alcohol,coping mechanism,Neutral,Alcohol dependency can become a coping mechanism for unbearable stress and isolation
127,"Instead of assuming instability is a character flaw, we should recognize how untreated depression, PTSD, or schizophrenia can disrupt someone’s entire life.",Addiction & Health,depression,disrupt,Neutral," we should recognize how untreated depression, PTSD, or schizophrenia can disrupt someone’s entire life"
128,"Counseling services give people the emotional support to process trauma, rebuild confidence, and slowly regain control over their lives.",Addiction & Health,counseling,emotional support,Hopeful,"Counseling services give people the emotional support to process trauma, rebuild confidence, and slowly regain control over their lives."
129,Having someone simply listen without judgment can make a homeless individual feel seen and valued again.,Empathy & Support,valued, without judgement,Hopeful,Having someone simply listen without judgment can make a homeless individual feel seen and valued again.
130,"Recovery is not instant, and relapses happen, but consistent rehabilitation services provide Hopeful and direction.",Addiction & Health,rehabilitation services ,consistent,Neutral,consistent rehabilitation services provide Hopeful and direction.
131,"When communities invest in rehabilitation instead of punishment, they create pathways to sustainable change.",Addiction & Health,rehabilitation,pathways,Hopeful,"When communities invest in rehabilitation instead of punishment, they create pathways to sustainable change."
132,"Laws that ban sleeping in public spaces may move people out of sight, but they don’t address the root causes of why those individuals have nowhere else to go.",Policy & Governance,law,ban,Neutral,laws don’t address the root causes of why those individuals have nowhere else to go
133,Criminalizing homelessness often adds fines or records that make it even harder for someone to secure employment or housing later.,Employment &Economy,employment,harder,Neutral,Criminalizing homelessness often adds fines or records that make it even harder for someone to secure employment or housing later.
134,"Police officers are often placed in situations that require social services expertise, which shows how homelessness is more than a law enforcement issue.",Policy & Governance,social services, more  than law enforcement issue,Hopeful, homelessness is more than a law enforcement issue.
135,"While public safety matters, addressing homelessness solely through policing can overlook the need for outreach workers and healthcare providers.”",Public Safety,public safety ,overlook,Hopeful,addressing homelessness solely through policing can overlook the need for outreach workers and healthcare providers
136,"Limited funding forces difficult choices, but strategic investment can break the cycle of chronic homelessness.",Policy & Governance,limited funding,strategic investment,Hopeful,strategic investment can break the cycle of chronic homelessness
