sample_id,text,aspect_target,aspect_category,opinion_span,stance,explanation
33,amazing all the phony reason not to have electric . who is to gain for PLUG STATIONS . who is to gain for SPECIAL hook up at a house . who is to gain to smash or eliminate electric . and no - - only the questions I ask help keep the electric auto off the street and at a higher price . even the mpg and high for gas was smashed decades ago . many examples . think . read . understand basics .,PLUG STATIONS,Policy & Governance,phony reason not to have electric,HATE,phony reason not to have electric
34,"Excellent analysis ! Colleges will need to hire extra administrators to collect and synthesize the federally - mandated data just to avoid losing funds , and that money for administrator salaries could be better spent on faculty . As Dr . Moore alludes , the results of any ratings is already predictable : Harvard , Stanford , MIT , CalTech , Yale , Chicago , etc . are excellent , but not so for most others . Why not rate the state legislatures , who determine how much support is given to most colleges ?",state legislatures,Policy & Governance,determine how much support is given to most colleges,NEUTRAL,determine how much support is given to most colleges
35,"Children are living , breathing and thinking human beings . They do NOT belong to their parents . They are entitled to the full protection of the law . If parents do things or fail to do things for their children that endanger their lives , the law should intervene . Parents should be charge with endangering the welfare of a child and child abuse . They should be prosecuted to the full extent of the las . a",the law,Policy & Governance,should intervene,HOPEFUL,the law should intervene
36,"Imagine liberals believing that every human deserves to have the best quality of life possible , even those with fatal illnesses ; obviously us liberals are dumb for caring about our fellow human . Nice to see you support ' s medical holocaust - TrumpKills !",liberals,Empathy & Support,us liberals are dumb for caring about our fellow human,HATE,us liberals are dumb for caring about our fellow human
37,"Pot may historically be correlated with increased illegal drug use . But perhaps the deciding factor is not the marajuana , but the illegal activity : once you have done one thing illegal , it ' s easy to do more . By legalizing , it is no longer a gateway to more illegal activity .",legalizing,Addiction & Health,it is no longer a gateway to more illegal activity,HOPEFUL,it is no longer a gateway to more illegal activity
38,"I am a retired HS media specialist and I am still asked all the time to help people find things on the Internet . My HS age granddaughter needs help evaluating reference material . Example : Why not depend on Wikipedia only ? Libraries and the Internet work together and a library can not exist on its own . Without a person in the facility to keep it going and to teach students its value , it will die . Teacher or media specialist is not the issue . We need to support public education fully . That means teachers , the arts , sports , and the Media Center .",public education,Empathy & Support,We need to support public education fully,HOPEFUL,We need to support public education fully
39,"The fact that marijuana is vastly less harmful than alcohol or tobacco is completely ignored . If this guy was serious about health , he would call for alcohol prohibition . Why is alcohol okay ? Because it ' s the drug of choice for white men . So he wants to live in a country where less harmful options to alcohol are illegal and those laws are enforced by judges and prosecutors who drink martinis to celebrate . Love this guy .",alcohol prohibition,Addiction & Health,completely ignored,HATE,completely ignored
40,"Asking a question about Wal Marts morality is offensive . The only thing that concerns them is the fast buck , and they have the money and power to make every devious argument in their favor . When they with the aid of hired politicians drive all competition to complete impotence , their utter disregard for the general welfare will cost us dearly .",Wal Marts morality,Policy & Governance,offensive,HATE,offensive
41,"You can count with me and my family support again , Bernie , support on line , word of mouth , and our modest economic support , but we are many members in my family <laugh>",support,Empathy & Support,You can count with me and my family support again,HOPEFUL,You can count with me and my family support again
42,The borders must be closed . PEople should be stopped from going there and coming from there or pretending to . Refugee intake must be radically reduced . We are playing with fire people . Europe will fall apart if this flood of angry people continues . The right will rise up . Europeans are seeing their cities destroyed .,Refugee intake,Policy & Governance,must be radically reduced,HATE,Refugee intake must be radically reduced
43,"I have smoked Martijuana all of my adult life and never had the desire to try another drug . I have a drink now and then , but do not smoke cigarettes . None of the people I know , not one of them , who smoke joint have any inclination toward using harder drugs . I have never tried pot brownies but perhaps I ' d like them better than smoking which cannot be good for my lungs . My sense is people who use hard drugs are predisposed to their use and not pushed along by toking on a pipe of mary jane . I feel strongly that commentaries such as this written by people in positions affecting laws mislead and in turn do much more harm than good .",commentaries such as this written by people in positions affecting laws,Policy & Governance,mislead and in turn do much more harm than good,HATE,mislead and in turn do much more harm than good
44,Treatment is much better than jail or prison but neither seems to have much of a track record for helping the addicted . I know parents who have sent their kids to treatment multiple times and the addict takes up drinking or drugs as soon as they are released . Treatment is expensive and WE pay for health care for the homeless and hopelessly addicted who live on the streets or at the bottom of the social ladder . Proven treatment that works and is affordable - Yes . A simple money machine for providers with little or no success in treatment - NO . The BIG problem is getting to the Yes .,Treatment,Addiction & Health,Treatment is much better than jail or prison,HOPEFUL,Treatment is much better than jail or prison
45,"As the son of a farmer , I reluctantly agree with the author ' s conclusion . Farm subsidies grossly reward a small - percentage of large - scale corporate farms and businesses , which now operate on scales in vast disproportion to the revered Jeffersonian single - farmer business . Farm subsidies indirectly support major pharmaceutical companies through chemicals , oil industries ( fertilizer ) , and diesel production / ports ; a very nationalist enterprise in an era of which America is the self - proclaimed champion of global free markets and force tariff removals . There are only two kinds of farmers : those selling their land and millionaires . there is little in - between in this industry . which also can no longer survive in a free market . commcercial farming has , in the words of a famous person , become ' too big too be allowed to fail . '",Farm subsidies,Employment & Economy,grossly reward a small - percentage of large - scale corporate farms and businesses,NEUTRAL,grossly reward a small - percentage of large - scale corporate farms and businesses
46,"I support Bernie on account USA needs a new direction but , if he loses in primary , I will support Hillary Clinton . Sanders2016 SemST",Bernie,Policy & Governance,I support Bernie,HOPEFUL,I support Bernie
47,"Of Course JoeBiden is receiving donation monies from CCP , China has to keep their initial investment of given to Biden going . And expect , If Joe wins the Presidency , China will OWN a large chunk of the United States , and their drug pipeline will be renewed .",drug pipeline,Addiction & Health,will be renewed,HATE,their drug pipeline will be renewed
48,"No one can ever truly afford to have a child . Mankind would have died out eons ago if we ' d all waited . But then we lived VERY modestly on one income so we had no child care expenses . Anyone who graduates from college with figure student loans is a fool - there are ways to get a college education without doing that . I agree that those with only a high school diploma absolutely must delay children until they achieve some financial stability - if they do not , they will have a lifetime of poverty . But all these college - educated young who are delaying parenthood until their forties so they can obtain all the material things they desire and take all the trips are only fooling themselves . This is financial responsibility - this is an avoidance of adulthood .",financial stability,Employment & Economy,must delay children until they achieve some financial stability,HOPEFUL,absolutely must delay children until they achieve some financial stability
49,The world already has too many people . One only has to pick up the newspaper to read of thousands of people risking their necks to move to countries who do not want them in order to better their standard of living . A good example of overpopulation is Haiti . Haitian have too many babies . Their people try to migrate to other countries who spend resources to find such immigrants and deport them .,overpopulation,Community Impact & Social Cohesion,too many people,HATE,too many people
50,"Just because she has the right to endorse a candidate , that does not make it the right thing to do . There is an intrinsic difference between commenting on judicial opinions already delivered , and attempting to use the power and glory of the Supreme Court to influence an upcoming election . I think that the dignity of the Court is lessened when its members descend into the political arena in such a manner .",the dignity of the Court,Policy & Governance,is lessened when its members descend into the political arena in such a manner,NEUTRAL,the dignity of the Court is lessened when its members descend into the political arena in such a manner
51,"Sanders is an opportunist who only joined the Democrats so he could take advantage of their organizational apparatus & ground game & base support . He sits as an independent , he should run as one . I have no respect for his attempt to exploit the Dems then cry foul .",Sanders,Empathy & Support,opportunist,HATE,Sanders is an opportunist
52,"U.S. Forigen policy in the last decade has been like a drunk in a china shop . Presidents George W , and Obama ' s forigen police advisors are a disaster . Iraq and Syria , both brutal dictatorships , and both secular governments where your religion was your own business we could not tolerate . But Saudia Arabia , the bank that funds the genacidal Muslim fundamentalists are just fine . I hope we "" do not do more stupid stuff "" , it ' s getting very dangerous , and very expensive .",U.S. Forigen policy,Policy & Governance,has been like a drunk in a china shop,HATE,has been like a drunk in a china shop
53,"The casino should replace the eagle as the new symbol of America . Wait , make that a casino with a really big army . Does anyone truly think that a business that is designed to churn money and skim some off the top has an social value in an economy that so recently created value by making things ? Oh wait , I am thinking of Wall Street . We are discussing casinos ? Well , I guess we can say that casinos are a really fun way to pay stupidity taxes . Yes , that ' s it . As your money disappears you can , like a cat , watch shiny things go around in circles and bat at them . It ' s a testament to how far we have come that we are willing to call employing dealers and bouncers a boon to our economy . Yes , even in areas where moon - shining is still considered a career choice .",casinos,Employment & Economy,a really fun way to pay stupidity taxes,HATE,casinos are a really fun way to pay stupidity taxes
54,Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition . I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York . I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund . Why would you want to damage a great university such as Columbia with a new tax policy ? The money I contribute helps other students from lower income families attend this wonderful college .,new tax policy,Policy & Governance,damage a great university such as Columbia with a new tax policy,NEUTRAL,damage a great university such as Columbia with a new tax policy
55,"Looks like she could be related to CreepyJoe . She ' s definitely not using SocialDistancing . I thoroughly enjoyed taking that picture , especially after she started Eyeball Fuxing me . She would not take a picture with a year Vet cause I did not support her . Loomer got Loomered .",SocialDistancing,Public Safety,She ' s definitely not using SocialDistancing,HATE,She ' s definitely not using SocialDistancing
56,MAGA Deplorables DonaldTrump IllegalAliens border American citizens . Trump signed an executive order to keep families together after said they would not pass anything in Congress . Now democratic orgs are going to sue Trump for signing the order . Vote GOP .,executive order to keep families together,Policy & Governance,Trump signed an executive order to keep families together,NEUTRAL,Trump signed an executive order to keep families together
57,An investigation needs to be done on Jordon ' s support of pedophilia . Too many GOP Grand Old Pedophiles : Trump Campaign Offical Ralph Shortey convicted of sextrafficking trafficking childsextrafficking,Jordon ' s support of pedophilia,Empathy & Support,Too many GOP Grand Old Pedophiles,HATE,Too many GOP Grand Old Pedophiles
58,"between an idiotic ignorant sexual assaulter & a warhawk in the pocket of wall street and the military industrial complex , either was going to lead us to more perpetual wars , needless interventions , supporting human rights violators like Saudi Arabia . We need better BernieSanders",BernieSanders,Policy & Governance,We need better BernieSanders,HOPEFUL,We need better BernieSanders
59,"A , requests . Sorry I do not believe that just like you do not believe in U.F.O ' S . I think this is fake news and a witch hunt for some support . JoeBiden",this,Policy & Governance,I think this is fake news and a witch hunt for some support,NEUTRAL,I think this is fake news and a witch hunt for some support
60,"BERNIE : its time to do something you cannot conceive of , despite your slogan being NotMeUs , and take one for the team . The loss must be yours . Take it . And let us continue to fight for the policy . Someone else will make it happen . Now , you need to get out of the way .",the policy,Policy & Governance,fight for the policy,HOPEFUL,fight for the policy
61,"Hey D Circ Firing Squad ! I support , but this video about BernieSanders is UNFAIR to him . I lived in Russia ( and prefer American way of life ) , and what Bernie says about Russian cultural life is ABSOLUTELY CORRECT . BUT it does NOT mean he wants Russian political system !",BernieSanders,Policy & Governance,UNFAIR to him,HOPEFUL,UNFAIR to him
62,More mess for the st world while everyone else struggles for food & shelter . I wonder how much of our commercial stuff ends up in landfills within a year or two ( easily ascertained ) ; just add the thrown out consumer generated stuff . Soon we will be able to walk to the moon . Come on big asteroid !,commercial stuff,Community Impact & Social Cohesion,More mess for the st world,HATE,More mess for the st world
63,"See GOP Donald Trump evolve on the ' border wall ' he promised during his campaign . A look at how Trump ' s thinking has shifted , as the government faces possible shutdown over border security funds .",border wall,Policy & Governance,promised during his campaign,NEUTRAL,promised during his campaign
64,I like that is adopting policy . Please I hope he adopts her disability policy next . Please . Election2020 BlueWave2020 HeHasHerPlanForThat,policy,Policy & Governance,I like that is adopting policy,HOPEFUL,I like that is adopting policy
65,"This article is not only misleading but really a flat out lie . Most condominium owners in NYC are not foreign billionaires , but average families trying to make a living like everyone else . Further more , condo owners pay a much higher tax than home owner do on similarly priced homes . This is because in NYC houses are assessed an the basis of their market value . Condos are assessed on their market values as commercial ( ie . rental properties ) , which allows the city to arbitrarily assign a much higher value to condos , and therefore a much higher tax . For instance , right now , one can find a house in St . Albans with taxes of . per year and a condo in Battery park city with annual taxes of . This is despite the fact , that most multi unit condos use less city services , less space and less energy than a similar number of houses . Even if condo owners and developers get a tax abatement during the initial years , these expire and they end up paying substantially higher taxes overall . The system is patently unfair to condo owners , and this article is simply dishonest !",The system,Policy & Governance,patently unfair to condo owners,NEUTRAL,The system is patently unfair to condo owners
66,"As someone who was permanently disabled due to a Christian Science upbringing , I wholeheartedly support this call to eliminate religious loopholes in child protection laws . Children deserve equal protection , regardless of what church their parents attend . Quite honestly , I do not see why this concept is so difficult for legislators to grasp . We already forbid some child neglect and abuse - - why not forbid all of it ?",religious loopholes in child protection laws,Policy & Governance,I wholeheartedly support this call to eliminate religious loopholes in child protection laws,HOPEFUL,I wholeheartedly support this call to eliminate religious loopholes in child protection laws
67,""" Do Immigrants Take Jobs From American - Born Workers ? "" seems to imply those jobs belong to native - born workers by right . That ' s an interesting perspective , particularly given how America advertises itself as a meritocracy , where the jobs go to the hardest working and most skilled . Mr . Camarota is re - treading the same arguments raised by th century Know - Nothings . America has not imploded from immigration since then . Successive generations of nativists have frothed about Irish , Italians , Polish , Chinese immigrants coming to steal American jobs . Yet America has became a superpower in those years . So is immigration really killing the job market ? Or maybe we should look instead at what ' s different now ? Perhaps the more significant cause of the decline in employment opportunities is because jobs are being shipped to countries like China or Sri Lanka ? Or perhaps it ' s because there is a lack in upwards social mobility through failing public education and rising costs of higher education ?",jobs,Employment & Economy,killing the job market,NEUTRAL,So is immigration really killing the job market ?
68,"Had laugh at that RABID DOG ahem , JoeBiden relax it ' s news ) as JO errantly claimed he had support of ONLY black female senator CM Braun when the other KamalaHarris was standing RIGHT THERE & laughingly reminded old man of it . Really entertaining , thx laughs <happy>",JoeBiden,Empathy & Support,RABID DOG,HATE,RABID DOG
69,We can not allow the refugees into Western countries . It ' s too risky . Any political leader who supports Syrian refugees coming into the U.S. should resign their position immediately if one of those refugee commits any act of violence in our country .,Syrian refugees coming into the U.S.,Public Safety,It ' s too risky,HATE,It ' s too risky
70,"discussions like this are largely moot . the early states into the recreational market have surfaced and are working to solve the various ( relatively minor ) social consequences of full legalization ; nationally , the social acceptance of fully legalized marijuana is increasing annually . as with other liberal trends of the past several decades , the outcome here is clear : eventual full legalization in most states . the drag here is federal drug and banking policy , which is sustained by conservative congressional sentiment . so what ? another decade of laissez aller executive orders by a democratic administration will make it clear to everyone that there is very little to fear from marijuana the psychotropic - - once the problem of marijuana the illegal product is eliminated .",federal drug and banking policy,Policy & Governance,drag here,NEUTRAL,the drag here is federal drug and banking policy
