sample_id,source_dataset,source_id,original_text,cleaned_text,aspect_target,aspect_category,opinion_span,stance,explanation,mapped_stance,cost_usd,s1_attempts,s2_attempts,status,errors,timestamp
11,VAST,,"Hmmm... the States-Righters ought to love this, huh? It certainly has precedents and does not seem prima facie unconstitutional. After all, would not a lot of Texans, Alaskans, and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity? No? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy, that it cannot be eliminated by laws, fences, patrols, or any other local action, and that it will continue to be the boon for us that it has always been, perhaps then a rational discussion will ensue.","Him . the States - Righters ought to love this , huh ? It certainly has precedents and does not seem prima facie unconstitutional . After all , would not a lot of Texans , Alaskans , and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity ? No ? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy , that it cannot be eliminated by laws , fences , patrols , or any other local action , and that it will continue to be the boon for us that it has always been , perhaps then a rational discussion will ensue .",domestic policy,Policy & Governance,"cannot be eliminated by laws , fences , patrols , or any other local action",NEUTRAL,"cannot be eliminated by laws , fences , patrols , or any other local action",NEUTRAL,0.000926,1,1,accepted,,2026-05-22T09:06:30.371954
12,PStance,,@USER @USER @USER @USER @USER please read and educate yourselves on why we need a border wall. BorderWall,please read and educate yourselves on why we need a border wall . BorderWall,border wall,Policy & Governance,we need a border wall,NEUTRAL,we need a border wall,HOPEFUL,0.000791,1,1,accepted,,2026-05-22T09:06:35.726734
13,PStance,,"Kendra, Joe, Uou should get out of politics. Seriously. Go write a book, becone a fishing guide, open a restaraunt. Anything not in politics. No lobbying. No campaigns. Support campaigns you like with your checkbooks or doing doors. Just get out. We cant afford your poison.","Kendra , Joe , Uou should get out of politics . Seriously . Go write a book , becone a fishing guide , open a restaraunt . Anything not in politics . No lobbying . No campaigns . Support campaigns you like with your checkbooks or doing doors . Just get out . We cant afford your poison .",politics,Policy & Governance,We cant afford your poison,HATE,We cant afford your poison,HATE,0.000828,1,1,accepted,,2026-05-22T09:06:37.997782
14,PStance,,"NewBluehand Bluehand The members of the NRA are not our opponents the vast majority of them support common-sense reforms, including universal background checks. The gun manufacturers who bankroll the NRA are our opponent. As president, Biden will defeat them. DemDebat","NewBluehand Bluehand The members of the NRA are not our opponents the vast majority of them support common - sense reforms , including universal background checks . The gun manufacturers who bankroll the NRA are our opponent . As president , Biden will defeat them . DemDebat",NRA,Policy & Governance,are not our opponents,HOPEFUL,The members of the NRA are not our opponents,HOPEFUL,0.000824,1,1,accepted,,2026-05-22T09:06:50.153734
15,VAST,,"agree that there is no basis for research. Support for research that would now prove useful has been non existent if not banned by government in the past. Further, there is a naive population that suddenly has access and just like any other item, the naive will be the ones who take too much. I suspect if the data collection in medical facilities were honest, they would ask their clients whether they were new users and the results would show the vast majority of medical problems come from the first time users.","agree that there is no basis for research . Support for research that would now prove useful has been non existent if not banned by government in the past . Further , there is a naive population that suddenly has access and just like any other item , the naive will be the ones who take too much . I suspect if the data collection in medical facilities were honest , they would ask their clients whether they were new users and the results would show the vast majority of medical problems come from the first time users .",research,Policy & Governance,no basis for research,NEUTRAL,no basis for research,HATE,0.000852,1,1,accepted,,2026-05-22T09:06:51.309237
16,PStance,,"I call BS. WHY I SUPPORT TRUMP: hes defending sovereignty, freedom of speech, right to bear arms, merit-based systems (equality). Dems want porous borders, censorship, gun confiscation, socialism (equity). Once you give up individual rights, you never get them back.","I call BS . WHY I SUPPORT TRUMP : hes defending sovereignty , freedom of speech , right to bear arms , merit - based systems ( equality ) . Dems want porous borders , censorship , gun confiscation , socialism ( equity ) . Once you give up individual rights , you never get them back .",sovereignty,Policy & Governance,hes defending sovereignty,HOPEFUL,hes defending sovereignty,HOPEFUL,0.000820,1,1,accepted,,2026-05-22T09:06:52.546899
17,VAST,,"There is nothing in the Fourteenth Amendment that permits birthright citizenship to non-citizens. In 1866, Senator Jacob Howard, co-author of the citizenship clause of the Fourteenth Amendment wrote: ""Every Person born within the limits of the United States, and subject to their jurisdiction, is by virtue of natural law and national law a citizen of the United States. This will not, of course, include persons born in the United States who are foreigners, aliens, who belong to the families of ambassadors or foreign ministers accredited to the Government of the United States, but will include every other class of persons...only thru expatriation, which could be accomplished thru law alone, and not thru any immigrant acting on his own outside the law-and certainly not by any act of birth alone-could an alien become a citizen...[the] Constitution as now amended, forever withholds the right of citizenship in the case of accidental birth of a child belonging to foreign parents within the limits of the country.""","There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens . In , Senator Jacob Howard , co - author of the citizenship clause of the Fourteenth Amendment wrote : "" Every Person born within the limits of the United States , and subject to their jurisdiction , is by virtue of natural law and national law a citizen of the United States . This will not , of course , include persons born in the United States who are foreigners , aliens , who belong to the families of ambassadors or foreign ministers accredited to the Government of the United States , but will include every other class of persons . only through expatriation , which could be accomplished through law alone , and not through any immigrant acting on his own outside the law - and certainly not by any act of birth alone - could an alien become a citizen . [ the ] Constitution as now amended , forever withholds the right of citizenship in the case of accidental birth of a child belonging to foreign parents within the limits of the country . """,birthright citizenship,Policy & Governance,There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens,NEUTRAL,There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens,NEUTRAL,0.000988,1,1,accepted,,2026-05-22T09:06:54.394772
18,VAST,,"America's values are captive to its foreign policy, which nearly always turns a blind eye to abusive Israeli treatment of neighboring Palestinians. This nearly unquestioning support for Israel's policies combined with Western dependence on MidEast oil, leads us further and further away from morally based policy decisions. The Obama administration embraces assassination by robots-for-hire. It may be this is the only acceptable way to deal with Islamic fanatics. However, it compounds the offense taken by foreign populations due to collateral damage (slaughtered families). The American public is then mystified as to why ""they"" hate us! I feel we already have lost any good will that might have been generated by aspiring population during the era of the ""Arab Spring"" by our arrogant treatment of these peoples. Perhaps this is naive, but I have always believed that ""you reap what you sow"". There is a darker future in the use of drones/robots. The inevitable course of action will be for government to turn robot spies and robot assassins on its own citizens. There will always be a ""security"" justification for police state behavior, and the terror we are currently turning loose abroad will return to our shores in due time.","America ' s values are captive to its foreign policy , which nearly always turns a blind eye to abusive Israeli treatment of neighboring Palestinians . This nearly unquestioning support for Israel ' s policies combined with Western dependence on MidEast oil , leads us further and further away from morally based policy decisions . The Obama administration embraces assassination by robots - for - hire . It may be this is the only acceptable way to deal with Islamic fanatics . However , it compounds the offense taken by foreign populations due to collateral damage ( slaughtered families ) . The American public is then mystified as to why "" they "" hate us ! I feel we already have lost any good will that might have been generated by aspiring population during the era of the "" Arab Spring "" by our arrogant treatment of these peoples . Perhaps this is naive , but I have always believed that "" you reap what you sow "" . There is a darker future in the use of drones / robots . The inevitable course of action will be for government to turn robot spies and robot assassins on its own citizens . There will always be a "" security "" justification for police state behavior , and the terror we are currently turning loose abroad will return to our shores in due time .",Obama administration,Policy & Governance,embraces assassination by robots - for - hire,HATE,The Obama administration embraces assassination by robots - for - hire,HATE,0.000988,1,1,accepted,,2026-05-22T09:06:56.072373
19,VAST,,"Just as some schizophrenics must be coerced into hospitals for the good of society, so must drug addicts. When people think they're just fine, but they're beating up their elderly parents (who won't press charges, believing that home is the safest place for their wayward offspring), then they need to be forcibly removed and treated. They may have severe emotional problems, but they're still a menace. When people addicted to drugs follow old ladies home from the bank, push them down, and steal their pocketbooks, fracturing their hips and forearms in the bargain, they need to be removed from society. They may be addicts, but they're also criminals. Sorry I am for all suffering. But not that sorry for either the addled or the addicts who think they are right and refuse treatment.","Just as some schizophrenics must be coerced into hospitals for the good of society , so must drug addicts . When people think they are just fine , but they are beating up their elderly parents ( who will not press charges , believing that home is the safest place for their wayward offspring ) , then they need to be forcibly removed and treated . They may have severe emotional problems , but they are still a menace . When people addicted to drugs follow old ladies home from the bank , push them down , and steal their pocketbooks , fracturing their hips and forearms in the bargain , they need to be removed from society . They may be addicts , but they are also criminals . Sorry I am for all suffering . But not that sorry for either the addled or the addicts who think they are right and refuse treatment .",drug addicts,Addiction & Health,they are still a menace,HATE,they are still a menace,HOPEFUL,0.000911,1,1,accepted,,2026-05-22T09:06:57.983298
20,VAST,,"I didn't realize that libraries were an American invention. I knew that Benjamin Franklin established the first on in this country (almost enough to let me forgive him for floating the ghastly daylight savings time joke in Paris a few years later) and Andrew Carnegie is the only philanthropist I've heard of to devote his fortune to the cause. I thought we had just done our fair share in keeping up with our responsibilities. I don't use the library often, I'm too fond of instant gratification in book stores and too undisciplined to return books on time, but I'm convinced they are a great value in our communities and support them willingly. I also have more internet bandwidth than most libraries. Books and DSL are expensive. I may be crazy enough to put those equal to or even ahead of paying for groceries but it's crucial that others in the community have access to what I take for granted without making the same commitment. Van","I did not realize that libraries were an American invention . I knew that Benjamin Franklin established the first on in this country ( almost enough to let me forgive him for floating the ghastly daylight savings time joke in Paris a few years later ) and Andrew Carnegie is the only philanthropist I have heard of to devote his fortune to the cause . I thought we had just done our fair share in keeping up with our responsibilities . I do not use the library often , I am too fond of instant gratification in book stores and too undisciplined to return books on time , but I am convinced they are a great value in our communities and support them willingly . I also have more internet bandwidth than most libraries . Books and DSL are expensive . I may be crazy enough to put those equal to or even ahead of paying for groceries but it ' s crucial that others in the community have access to what I take for granted without making the same commitment . Van",libraries,Community Impact & Social Cohesion,they are a great value in our communities and support them willingly,HOPEFUL,they are a great value in our communities and support them willingly,HOPEFUL,0.000963,1,1,accepted,,2026-05-22T09:07:08.270900
21,VAST,,"The late Edward Abbey had a novel idea: allow anyone into a national park if travelling under their own steam -- walking, biking, skiing, etc. After all, getting out of the car is the best way to enjoy nature. As for the understandable complaints about children and the elderly not being able to travel in our parks under such a rule, Abbey replied that the kids will have their chances later (and we'll have preserved the parks for them), and the elderly had their chances when younger.","The late Edward Abbey had a novel idea : allow anyone into a national park if travelling under their own steam - - walking , biking , skiing , etc . After all , getting out of the car is the best way to enjoy nature . As for the understandable complaints about children and the elderly not being able to travel in our parks under such a rule , Abbey replied that the kids will have their chances later ( and we will have preserved the parks for them ) , and the elderly had their chances when younger .",national park,Public Space,allow anyone into a national park if travelling under their own steam,NEUTRAL,allow anyone into a national park if travelling under their own steam,HOPEFUL,0.000885,1,1,accepted,,2026-05-22T09:07:10.397216
22,VAST,,No simply answer. I serviced machines at a produce packing plant where all the workers were laid off after a fire. When the plant reopened the black local based work force was replaced with an immigrant crew provided by a labor contractor. The business owner had the opinion that the blacks didn't work hard enough and were a lot of trouble. Five or six of the most reliable blacks were kept. Fifty years ago migrant crews were blacks who followed the harvest seasons up and down the East coast. With liberal welfare policies they could stay in one place. Farmers who still needed workers came to depend on contractors who would supply illegals. Forcing blacks off of welfare and busing them to farm jobs would probably not go over very well. Simply enforcing labor laws prohibiting hiring of illegals is not good enough. They have to be kept out of the country. By simply setting foot on American soil they gain many legal and Constitutional rights.,No simply answer . I serviced machines at a produce packing plant where all the workers were laid off after a fire . When the plant reopened the black local based work force was replaced with an immigrant crew provided by a labor contractor . The business owner had the opinion that the blacks did not work hard enough and were a lot of trouble . Five or six of the most reliable blacks were kept . Fifty years ago migrant crews were blacks who followed the harvest seasons up and down the East coast . With liberal welfare policies they could stay in one place . Farmers who still needed workers came to depend on contractors who would supply illegals . Forcing blacks off of welfare and busing them to farm jobs would probably not go over very well . Simply enforcing labor laws prohibiting hiring of illegals is not good enough . They have to be kept out of the country . By simply setting foot on American soil they gain many legal and Constitutional rights .,liberal welfare policies,Policy & Governance,With liberal welfare policies they could stay in one place,NEUTRAL,With liberal welfare policies they could stay in one place,HATE,0.000950,1,1,accepted,,2026-05-22T09:07:12.303156
23,VAST,,"yes, let's hate cyclists: people who get off their ass and ride, staying fit as they get around the city. they don't pollute the air, they don't create noise, they don't create street after street clogged with cars dripping oil... I think the people who hate cyclists are the same ones who hate dogs: they have tiny little shards of coal where their heart once was. they can't move fast or laugh, and want no one else to, either. According to the DMV, in 2009 there were 75,539 automobile crashes in New York City, less than 4 percent of those crashes involved a bicycle. cyclists are clearly the problem here.","yes , let us hate cyclists : people who get off their ass and ride , staying fit as they get around the city . they do not pollute the air , they do not create noise , they do not create street after street clogged with cars dripping oil . I think the people who hate cyclists are the same ones who hate dogs : they have tiny little shards of coal where their heart once was . they can not move fast or laugh , and want no one else to , either . According to the DMV , in there were , automobile crashes in New York City , less than percent of those crashes involved a bicycle . cyclists are clearly the problem here .",cyclists,Community Impact & Social Cohesion,"people who get off their ass and ride , staying fit as they get around the city",HOPEFUL,"people who get off their ass and ride , staying fit as they get around the city",HATE,0.000937,1,1,accepted,,2026-05-22T09:07:13.810007
24,PStance,,"Exactly, neoliberals and third way centrists are just now claiming support because the public's view shifted. You know whose view point has always been in support of the american people? @USER EatTheRich","Exactly , neoliberals and third way centrists are just now claiming support because the public ' s view shifted . You know whose view point has always been in support of the american people ? EatTheRich",neoliberals and third way centrists,Policy & Governance,are just now claiming support,NEUTRAL,neoliberals and third way centrists are just now claiming support,HOPEFUL,0.000842,1,1,accepted,,2026-05-22T09:07:15.666249
25,PStance,,"When I was a little girl, seven people were massacred at a bowling alley in Las Cruces, NM. The case remains unsolved and our town believed the robbers escaped back across the border to Mexico. Would a wall prevent this type of tragedy in the future? @USER","When I was a little girl , seven people were massacred at a bowling alley in Las Cruces , NM . The case remains unsolved and our town believed the robbers escaped back across the border to Mexico . Would a wall prevent this type of tragedy in the future ?",a wall,Public Safety,Would a wall prevent this type of tragedy in the future ?,NEUTRAL,Would a wall prevent this type of tragedy in the future ?,HOPEFUL,0.000848,1,1,accepted,,2026-05-22T09:07:17.562241
26,SemEval2016,,"@USER ILLEGAL ALIENS come to US collect welfare and social security, its time to MakeAmericaGreatAgain SECURE OUR BORDERS SemST","ILLEGAL ALIENS come to US collect welfare and social security , its time to MakeAmericaGreatAgain SECURE OUR BORDERS SemST",welfare and social security,Policy & Governance,collect welfare and social security,HATE,ILLEGAL ALIENS come to US collect welfare and social security,HATE,0.000820,1,1,accepted,,2026-05-22T09:07:19.620798
27,VAST,,"Yes. The US is on the wrong side. Dictators are terrible and evil people but they keep peace by consolidating power and preventing power vacuums that have allowed IS to run rampant across the Middle East. US foreign policy says that our nation has a fundamental right to protect freedom across the globe. This puts us at odds with Assad and IS. However, when determining what would be the most harmful, it is easy to see that Assad is the lesser of two evils. We have a duty to the persecuted. Persecution under IS > Persecution under Assad. Human life should not be summed down to such an ugly inequality, but for practical reasons, those are the facts.","Yes . The US is on the wrong side . Dictators are terrible and evil people but they keep peace by consolidating power and preventing power vacuums that have allowed IS to run rampant across the Middle East . US foreign policy says that our nation has a fundamental right to protect freedom across the globe . This puts us at odds with Assad and IS . However , when determining what would be the most harmful , it is easy to see that Assad is the lesser of two evils . We have a duty to the persecuted . Persecution under IS > Persecution under Assad . Human life should not be summed down to such an ugly inequality , but for practical reasons , those are the facts .",US foreign policy,Policy & Governance,has a fundamental right to protect freedom across the globe,NEUTRAL,US foreign policy says that our nation has a fundamental right to protect freedom across the globe,HATE,0.000924,1,1,accepted,,2026-05-22T09:07:21.659468
28,COVID19,1283401978442387456,Covid-19 is one of the underrated yet powerful plague of our time Apart from poverty. And they both share a lot in common SchoolsMustShutdown,Covid - is one of the underrated yet powerful plague of our time Apart from poverty . And they both share a lot in common SchoolsMustShutdown,poverty,Community Impact & Social Cohesion,underrated yet powerful plague,HATE,underrated yet powerful plague,NEUTRAL,0.000809,1,1,accepted,,2026-05-22T09:07:23.430882
29,VAST,,"Sadly, there was not one mention of why this helps children in this piece. Many of the negatives identified are problems for all employees. Why the special measures for teachers? I support due process, but then why do teachers in NY who have compromised their responsibilities sit in rubber rooms all day? Why do administrators and school boards say the only way to let go of a teacher is if they harm a student or break the law? Administrators quite frankly do not do their jobs well. If they did, then we'd see a higher rate of tenure denial because if tenure makes it more challenging to correct a poor performer than the bar for achieving it should be much higher, and there is little evidence in the statistics of that - at least not in my communities.","Sadly , there was not one mention of why this helps children in this piece . Many of the negatives identified are problems for all employees . Why the special measures for teachers ? I support due process , but then why do teachers in NY who have compromised their responsibilities sit in rubber rooms all day ? Why do administrators and school boards say the only way to let go of a teacher is if they harm a student or break the law ? Administrators quite frankly do not do their jobs well . If they did , then we ' d see a higher rate of tenure denial because if tenure makes it more challenging to correct a poor performer than the bar for achieving it should be much higher , and there is little evidence in the statistics of that - at least not in my communities .",due process,Policy & Governance,I support due process,HOPEFUL,I support due process,HATE,0.000896,1,1,accepted,,2026-05-22T09:07:24.958644
30,VAST,,Growing up in a joint custody family my weekends and holidays were spent in a basement making machines out advanced builder Lego sets cycling down/up Chatterton Parkway in Hartsdale to replenish my bagel/Mountain Dew supply. Leaving kids to their own devices is a gamble. When you get down to it there is no correlation between screen addiction and chronological age.,Growing up in a joint custody family my weekends and holidays were spent in a basement making machines out advanced builder Lego sets cycling down / up Chatterton Parkway in Hartsdale to replenish my bagel / Mountain Dew supply . Leaving kids to their own devices is a gamble . When you get down to it there is no correlation between screen addiction and chronological age .,Leaving kids to their own devices,Addiction & Health,is a gamble,NEUTRAL,Leaving kids to their own devices is a gamble,HATE,0.000849,1,1,accepted,,2026-05-22T09:07:28.803341
31,COVID19,1243336560361246724,DrFauci calls shortages of hydroxychloriquine (Plaquenil) an “unintended consequence” of COVID-19 clinical trials underway. Drug is approved to treat conditions including lupus and rheumatoid arthritis. @USER,"DrFauci calls shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence "" of COVID - clinical trials underway . Drug is approved to treat conditions including lupus and rheumatoid arthritis .",hydroxychloriquine ( Plaquenil ),Addiction & Health,"shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence """,NEUTRAL,"shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence """,NEUTRAL,0.000884,1,1,accepted,,2026-05-22T09:07:31.234708
32,VAST,,"Why shouldn't fat people be protected by law? Such protections are given to social sub groups such as minorities, homosexuals, etc. Why not fat people? Since we've gone down this legal self pity path; Why not put every group with a perceived or real slight? I can support it.","Why should not fat people be protected by law ? Such protections are given to social sub groups such as minorities , homosexuals , etc . Why not fat people ? Since we have gone down this legal self pity path ; Why not put every group with a perceived or real slight ? I can support it .",protections,Policy & Governance,I can support it,HOPEFUL,I can support it,NEUTRAL,0.000822,1,1,accepted,,2026-05-22T09:07:32.878112
33,VAST,,amazing all the phony reason not to have electric..who is to gain for PLUG STATIONS. who is to gain for SPECIAL hook up at a house..who is to gain to smash or eliminate electric..and no--only the questions I ask help keep the electric auto off the street and at a higher price..even the 60mpg and high for gas was smashed decades ago...many examples..think..read..understand basics..,amazing all the phony reason not to have electric . who is to gain for PLUG STATIONS . who is to gain for SPECIAL hook up at a house . who is to gain to smash or eliminate electric . and no - - only the questions I ask help keep the electric auto off the street and at a higher price . even the mpg and high for gas was smashed decades ago . many examples . think . read . understand basics .,PLUG STATIONS,Policy & Governance,phony reason not to have electric,HATE,phony reason not to have electric,HOPEFUL,0.000857,1,1,accepted,,2026-05-22T09:07:36.154242
